rank;points;player
967;11;Khumoyun Sultanov
968;11;Ilija Vucic
969;11;Rhyne Williams
970;11;Isaiah Strode
971;11;Jorge Panta
972;11;Kenneth Raisma
973;11;Michael Geerts
973;11;Franjo Raspudic
975;11;Dominic Weidinger
976;11;Michael Zhu
977;11;Simone Roncalli
978;11;Giorgio Ricca
979;11;Enrico Dalla Valle
980;11;Adria Mas Mascolo
981;11;Nick Chappell
982;11;Aaron Cortes Alcaraz
983;11;Joshua Paris
984;11;Jakob Sude
985;11;Hugo Voljacques
986;10;James Duckworth
987;10;Joy Vigani
988;10;Guillermo Duran
989;10;Julian Zlobinsky
990;10;Riccardo Ghedin
991;10;Juraj Masar
992;10;Yong Kyu Lim
993;10;Ezekiel Clark
994;10;Tyler Lu
995;10;Keegan Smith
996;10;Tom Jomby
997;10;Sergey Fomin
998;10;Jolan Cailleau
999;10;Alen Avidzba
1000;10;Andrew Watson
1001;10;Dalwinder Singh
1002;10;Jayesh Pungliya
1003;10;Ioannis Stergiou
1004;10;Mike Urbanija
1005;10;Vullnet Tashi
1006;10;Theo Fournerie
1006;10;Carlos Eduardo Severino
1008;10;Petr Hajek
1009;10;Mats Rosenkranz
1010;10;Eduardo Dischinger
1011;10;Marco Miceli
1012;10;Marc Dijkhuizen
1013;10;Ronan Joncour
